City_ID,City,Country,Latitude,Longitude,Max Temperature,Percent Humidity,Percent Cloudiness,Wind Speed,Weather Description
0,Kavieng,PG,-2.5744,150.7967,82.74,71,100,6.38,overcast clouds
1,East London,ZA,-33.0153,27.9116,69.82,57,0,6.8,clear sky
2,Geraldton,AU,-28.7667,114.6,57.61,94,23,6.91,few clouds
3,Rikitea,PF,-23.1203,-134.9692,77.02,72,14,20.56,few clouds
4,Nikolskoye,RU,59.7035,30.7861,41.88,49,84,6.33,broken clouds
5,Hobart,AU,-42.8794,147.3294,59.05,93,100,10.36,overcast clouds
6,Hermanus,ZA,-34.4187,19.2345,66.79,67,2,14.72,clear sky
7,Busselton,AU,-33.65,115.3333,55.56,79,81,5.68,broken clouds
8,Arraial Do Cabo,BR,-22.9661,-42.0278,87.66,55,0,14.97,clear sky
9,Rafsanjan,IR,30.4067,55.9939,80.06,10,74,11.21,broken clouds
10,Tuktoyaktuk,CA,69.4541,-133.0374,7.5,97,100,5.77,overcast clouds
11,Parabel,RU,58.6978,81.4825,55.96,86,100,10.63,overcast clouds
12,Punta Arenas,CL,-53.15,-70.9167,44.71,70,0,27.63,clear sky
13,Bronnoysund,NO,65.4625,12.1997,37.4,60,75,10.36,broken clouds
14,Yellowknife,CA,62.456,-114.3525,36.95,63,34,11.1,scattered clouds
15,Srednekolymsk,RU,67.45,153.6833,4.71,98,100,4.85,overcast clouds
16,Kochevo,RU,59.5994,54.3125,28.63,85,100,7.05,overcast clouds
17,Kurumkan,RU,54.3,110.3,28.47,71,11,5.14,few clouds
18,Lebu,CL,-37.6167,-73.65,54.09,58,77,9.04,broken clouds
19,Champerico,GT,14.3,-91.9167,90.14,65,66,2.04,broken clouds
20,Fortuna,US,40.5982,-124.1573,48.65,96,100,1.01,overcast clouds
21,Mataura,NZ,-46.1927,168.8643,41.18,99,14,1.92,few clouds
22,New Norfolk,AU,-42.7826,147.0587,58.71,86,100,3.42,overcast clouds
23,Magistralnyy,RU,56.1725,107.4458,26.38,95,28,2.73,scattered clouds
24,Butaritari,KI,3.0707,172.7902,80.83,82,100,16.64,light rain
25,Kaitangata,NZ,-46.2817,169.8464,45.21,94,70,3.62,broken clouds
26,Ucluelet,CA,48.9329,-125.5528,47.08,84,100,3.69,overcast clouds
27,Chokurdakh,RU,70.6333,147.9167,-11.22,100,94,3.74,overcast clouds
28,Kapaa,US,22.0752,-159.319,72.12,95,100,12.66,light rain
29,Osa,RU,57.2829,55.4567,38.52,71,100,11.18,overcast clouds
30,Balikpapan,ID,-1.2675,116.8289,77.99,94,20,2.3,few clouds
31,Hofn,IS,64.2539,-15.2082,45.0,75,15,7.52,few clouds
32,Constitucion,CL,-35.3333,-72.4167,58.41,55,6,10.78,clear sky
33,Ancud,CL,-41.8697,-73.8203,47.86,73,100,2.86,overcast clouds
34,Saint-Pierre,RE,-21.3393,55.4781,76.68,75,0,4.61,clear sky
35,Huilong,CN,31.8111,121.655,55.92,94,100,24.49,overcast clouds
36,Villa Bruzual,VE,9.3328,-69.1208,89.38,55,49,3.8,scattered clouds
37,Beneditinos,BR,-5.45,-42.3667,88.9,52,93,3.85,overcast clouds
38,Dingle,PH,10.9995,122.6711,77.0,89,100,5.55,overcast clouds
39,Yinchuan,CN,38.4681,106.2731,60.73,21,97,3.65,overcast clouds
40,Itoman,JP,26.1247,127.6694,79.18,92,75,10.36,broken clouds
41,Gezing,AT,47.9178,13.1299,61.63,53,22,9.22,few clouds
42,Mikhaylovka,RU,50.06,43.2379,57.78,62,37,9.64,scattered clouds
43,Partizanskoye,RU,55.5006,94.39,44.8,71,98,8.57,overcast clouds
44,Mozarlandia,BR,-14.7447,-50.5706,90.79,31,1,6.8,clear sky
45,Husavik,IS,66.0449,-17.3389,44.91,63,28,7.74,scattered clouds
46,Vostok,RU,46.4856,135.8833,28.17,85,31,3.85,scattered clouds
47,Ushuaia,AR,-54.8,-68.3,44.22,75,40,36.82,scattered clouds
48,Sabratah,LY,32.7933,12.4885,68.65,58,98,23.58,overcast clouds
49,Cravo Norte,CO,6.3017,-70.2041,89.29,50,73,3.87,broken clouds
50,Ranau,MY,5.9538,116.6641,70.11,99,92,1.41,overcast clouds
51,Port Elizabeth,ZA,-33.918,25.5701,66.31,49,2,5.35,clear sky
52,Binika,IN,21.0333,83.8,95.63,10,0,3.31,clear sky
53,Samarai,PG,-10.6167,150.6667,81.48,80,18,10.2,few clouds
54,Barrow,US,71.2906,-156.7887,5.02,85,100,20.71,overcast clouds
55,Cherskiy,RU,68.75,161.3,21.58,96,100,8.84,overcast clouds
56,Rangpur,BD,25.75,89.25,85.77,53,0,7.85,clear sky
57,Chake Chake,TZ,-5.2459,39.7666,76.93,90,80,10.96,moderate rain
58,Chiang Mai,TH,18.75,99.0,88.59,67,40,14.97,scattered clouds
59,Rio Grande,BR,-32.035,-52.0986,64.51,86,100,11.3,overcast clouds
60,Tuzha,RU,57.6062,47.936,34.14,54,72,5.93,broken clouds
61,Luang Prabang,LA,19.8856,102.1347,81.54,63,51,2.1,broken clouds
62,Vila Velha,BR,-20.3297,-40.2925,87.75,67,20,13.8,few clouds
63,Bluff,NZ,-46.6,168.3333,47.89,87,61,4.43,broken clouds
64,Bundaberg,AU,-24.85,152.35,67.21,96,66,5.75,broken clouds
65,Mahebourg,MU,-20.4081,57.7,74.25,74,29,0.6,scattered clouds
66,Dikson,RU,73.5069,80.5464,15.87,81,67,19.98,broken clouds
67,Kruisfontein,ZA,-34.0033,24.7314,61.88,59,3,4.47,clear sky
68,Codrington,AU,-38.2667,141.9667,68.04,63,4,19.84,clear sky
69,Nanortalik,GL,60.1432,-45.2371,40.44,78,96,2.86,overcast clouds
70,Leningradskiy,RU,69.3833,178.4167,9.5,95,98,5.23,overcast clouds
71,Albany,US,42.6001,-73.9662,48.45,31,47,4.0,scattered clouds
72,Hami,CN,42.8,93.45,62.73,13,97,16.91,overcast clouds
73,Mar Del Plata,AR,-38.0023,-57.5575,54.88,61,4,18.99,clear sky
74,Waipawa,NZ,-41.4122,175.5153,49.32,77,84,1.23,broken clouds
75,Puerto Ayacucho,VE,5.6639,-67.6236,88.34,59,74,4.85,broken clouds
76,Mount Gambier,AU,-37.8333,140.7667,69.17,55,31,12.08,scattered clouds
77,Chabahar,IR,25.2919,60.643,86.63,63,0,11.79,clear sky
78,Katsuura,JP,35.1333,140.3,59.36,77,49,10.31,scattered clouds
79,Avarua,CK,-21.2078,-159.775,78.85,83,40,10.36,scattered clouds
80,Faanui,PF,-16.4833,-151.75,81.41,71,8,23.69,light rain
81,Kostomuksha,RU,64.571,30.5767,33.85,62,100,6.78,overcast clouds
82,Charagua,BO,-19.8,-63.2167,74.77,69,65,6.6,broken clouds
83,Deputatskiy,RU,69.3,139.9,-3.06,100,96,3.8,overcast clouds
84,Jamestown,US,42.097,-79.2353,43.52,43,0,11.5,clear sky
85,Aklavik,CA,68.2191,-135.0107,6.8,85,100,3.44,light snow
86,Mollendo,PE,-17.0231,-72.0147,67.87,82,100,9.13,overcast clouds
87,Lucea,JM,18.451,-78.1736,83.86,62,34,14.43,scattered clouds
88,Severo-Kurilsk,RU,50.6789,156.125,32.81,88,100,16.35,light snow
89,Harper,LR,4.375,-7.7169,83.07,76,100,9.04,light rain
90,Pombia,IT,45.653,8.6336,71.94,42,0,8.99,clear sky
91,Qaanaaq,GL,77.484,-69.3632,28.65,74,100,6.15,overcast clouds
92,Blackwater,AU,-23.5833,148.8833,66.74,85,33,7.92,scattered clouds
93,Port Alfred,ZA,-33.5906,26.891,68.18,68,0,1.01,clear sky
94,Vetluzhskiy,RU,58.3902,45.4654,34.09,44,77,4.94,broken clouds
95,Kirovsk,UA,48.6375,38.6428,57.94,60,94,5.77,overcast clouds
96,Airai,TL,-8.9266,125.4092,59.0,93,70,1.63,broken clouds
97,Bandarbeyla,SO,9.4942,50.8122,83.98,76,3,12.17,clear sky
98,Souris,CA,49.6172,-100.2612,33.66,68,100,8.75,overcast clouds
99,Salinas,US,36.6777,-121.6555,55.56,69,40,10.36,scattered clouds
100,Khatanga,RU,71.9667,102.5,15.66,93,97,8.61,overcast clouds
101,Bredasdorp,ZA,-34.5322,20.0403,60.87,79,24,6.8,few clouds
102,Tura,IN,25.5198,90.2201,79.2,63,0,4.97,clear sky
103,Inirida,CO,3.8653,-67.9239,90.79,55,87,0.69,overcast clouds
104,Nhulunbuy,AU,-12.2333,136.7667,79.41,89,68,0.0,broken clouds
105,Arcata,US,40.8665,-124.0828,49.75,88,100,3.44,overcast clouds
106,Sijunjung,ID,-0.6876,100.9537,74.46,93,100,2.42,moderate rain
107,Arica,CL,-18.475,-70.3042,68.23,68,100,0.0,overcast clouds
108,Savalou,BJ,7.9281,1.9756,95.68,35,48,1.79,scattered clouds
109,San Patricio,US,28.017,-97.5169,84.06,57,10,16.67,clear sky
110,Carnarvon,AU,-24.8667,113.6333,68.07,73,0,16.11,clear sky
111,Calama,CL,-22.4667,-68.9333,75.69,3,0,5.75,clear sky
112,Tombouctou,ML,20.0,-3.0,97.3,6,0,6.04,clear sky
113,Beira,MZ,-19.8436,34.8389,75.29,73,75,6.91,broken clouds
114,Cape Town,ZA,-33.9258,18.4232,64.35,79,0,11.99,clear sky
115,Inhambane,MZ,-23.865,35.3833,69.19,78,14,7.07,light rain
116,Bauchi,NG,10.5,10.0,98.06,16,94,7.63,overcast clouds
117,Charlestown,AU,-32.95,151.6667,68.83,95,65,5.17,broken clouds
118,Topolobampo,MX,25.6,-109.05,75.11,53,0,10.36,clear sky
119,Tiarei,PF,-17.5333,-149.3333,75.22,74,12,23.44,light rain
120,Kodiak,US,57.79,-152.4072,42.31,75,100,10.36,overcast clouds
121,Dehra Dun,IN,30.3167,78.0333,84.36,14,10,6.33,clear sky
122,Santa Isabel,BR,-23.3156,-46.2214,85.3,37,4,7.92,clear sky
123,Kinablangan,PH,7.6947,126.5503,77.23,87,100,2.33,overcast clouds
124,Lompoc,US,34.6391,-120.4579,58.78,69,0,18.01,clear sky
125,Impfondo,CG,1.6381,18.0667,84.61,62,76,1.39,light rain
126,Nome,US,64.5011,-165.4064,35.67,87,100,12.66,light rain
127,Swiecie,PL,53.4095,18.4474,59.31,44,89,1.7,overcast clouds
128,Hommelvik,NO,63.4108,10.7942,43.47,55,40,12.66,scattered clouds
129,Vaini,TO,-21.2,-175.2,75.36,73,20,9.22,few clouds
130,Torbay,CA,47.6666,-52.7314,50.76,84,75,10.36,broken clouds
131,Puerto Escondido,MX,15.85,-97.0667,86.83,70,0,11.5,clear sky
132,Puerto Ayora,EC,-0.7393,-90.3518,78.76,75,23,7.72,few clouds
133,Houma,US,29.5958,-90.7195,78.8,44,0,5.75,clear sky
134,Thompson,CA,55.7435,-97.8558,39.36,52,75,5.75,broken clouds
135,Sur,OM,22.5667,59.5289,88.83,53,0,2.93,clear sky
136,Rock Springs,US,41.5875,-109.2029,60.04,37,20,16.11,few clouds
137,Nicoya,CR,10.1483,-85.452,88.86,53,17,6.46,few clouds
138,Kidal,ML,18.4411,1.4078,97.86,4,0,6.6,clear sky
139,Morondava,MG,-20.2833,44.2833,80.19,58,0,13.65,clear sky
140,Padang,ID,-0.9492,100.3543,78.85,84,100,2.37,heavy intensity rain
141,Progress,US,40.2851,-76.8314,51.44,39,0,18.41,clear sky
142,Atar,MR,20.5169,-13.0499,95.56,7,0,8.25,clear sky
143,Narsaq,GL,60.9167,-46.05,57.42,72,100,3.67,overcast clouds
144,Hithadhoo,MV,-0.6,73.0833,85.8,68,99,7.23,light rain
145,Necochea,AR,-38.5473,-58.7368,54.55,50,17,25.32,few clouds
146,Tasiilaq,GL,65.6145,-37.6368,39.36,82,100,6.46,overcast clouds
147,Toba,JP,34.4833,136.85,65.08,86,99,5.01,overcast clouds
148,Los Llanos De Aridane,ES,28.6585,-17.9182,66.13,80,20,12.66,few clouds
149,Kembe,CF,4.6228,21.8865,80.42,68,80,3.31,broken clouds
150,Yar-Sale,RU,66.8333,70.8333,17.4,88,100,5.77,overcast clouds
151,Kaliua,TZ,-5.0606,31.7936,67.64,90,58,5.3,light rain
152,Lichtenburg,ZA,-26.152,26.1597,60.82,49,23,7.43,few clouds
153,Bam,IR,29.106,58.357,86.22,15,38,7.07,scattered clouds
154,Botwood,CA,49.1499,-55.3482,55.9,65,100,5.88,overcast clouds
155,Matara,LK,5.9485,80.5353,81.34,79,98,5.48,overcast clouds
156,Coahuayana,MX,18.7333,-103.6833,88.34,37,26,5.55,scattered clouds
157,Luwingu,ZM,-10.2621,29.9271,62.6,88,100,5.82,overcast clouds
158,Hasaki,JP,35.7333,140.8333,54.0,66,17,10.16,few clouds
159,Hilo,US,19.7297,-155.09,77.29,89,20,5.75,few clouds
160,Namibe,AO,-15.1961,12.1522,76.06,65,13,10.96,few clouds
161,Norman Wells,CA,65.282,-126.8329,28.44,80,75,4.61,broken clouds
162,Touros,BR,-5.1989,-35.4608,86.74,63,87,15.3,overcast clouds
163,Pitimbu,BR,-7.4706,-34.8086,88.39,69,74,13.04,broken clouds
164,Vardo,NO,70.3705,31.1107,21.18,93,100,28.77,overcast clouds
165,Ahuimanu,US,21.4447,-157.8378,73.11,84,100,11.5,overcast clouds
166,Camacupa,AO,-12.0167,17.4833,71.38,68,67,2.39,broken clouds
167,Kawalu,ID,-7.3817,108.2082,73.89,94,99,2.24,overcast clouds
168,Pevek,RU,69.7008,170.3133,17.08,97,100,3.62,overcast clouds
169,Puerto Baquerizo Moreno,EC,-0.9,-89.6,77.99,69,40,13.8,scattered clouds
170,Atuona,PF,-9.8,-139.0333,78.46,78,47,21.03,light rain
171,Bambous Virieux,MU,-20.3428,57.7575,75.45,88,40,3.44,scattered clouds
172,Kampong Cham,KH,11.9934,105.4635,82.49,71,82,9.31,broken clouds
173,Marystown,CA,47.1666,-55.1483,47.86,100,100,1.01,overcast clouds
174,Asau,RO,46.4333,26.4,51.28,100,100,3.65,light rain
175,Krasnyy Chikoy,RU,50.3643,108.7512,28.49,59,27,5.46,scattered clouds
176,Saint-Philippe,RE,-21.3585,55.7679,76.59,80,51,7.61,broken clouds
177,Cabo San Lucas,MX,22.8909,-109.9124,87.62,60,0,5.75,clear sky
178,Nouadhibou,MR,20.931,-17.0347,76.98,50,1,16.11,clear sky
179,San Juan,AR,-31.5375,-68.5364,57.38,31,0,14.32,clear sky
180,Klaksvik,FO,62.2266,-6.589,47.32,75,80,5.03,broken clouds
181,Georgetown,MY,5.4112,100.3354,82.35,84,40,9.22,thunderstorm
182,Acapulco,MX,16.8634,-99.8901,85.82,58,0,5.75,clear sky
183,Takapau,NZ,-40.0333,176.35,48.72,92,42,2.3,scattered clouds
184,Kysyl-Syr,RU,63.8986,122.7617,13.93,95,24,1.34,few clouds
185,Hegang,CN,47.4,130.3667,36.93,48,0,4.0,clear sky
186,Tilichiki,RU,60.4667,166.1,32.09,79,100,14.32,overcast clouds
187,Kaeo,NZ,-35.1,173.7833,59.27,83,56,9.69,broken clouds
188,Humberto De Campos,BR,-2.5983,-43.4611,86.16,66,92,5.59,light rain
189,Ribeira Grande,PT,38.5167,-28.7,63.0,100,75,11.5,light rain
190,Popova,RU,42.9603,131.7228,43.29,74,100,3.4,overcast clouds
191,Chapais,CA,49.7834,-74.8492,31.78,57,36,11.99,scattered clouds
192,Thinadhoo,MV,0.5333,72.9333,85.17,70,100,5.28,overcast clouds
193,Castro,BR,-24.7911,-50.0119,75.67,62,88,10.65,overcast clouds
194,Ambon,ID,-3.6954,128.1814,81.3,76,88,0.81,overcast clouds
195,Zhangjiakou,CN,40.81,114.8794,50.2,62,14,5.79,few clouds
196,Constanta,RO,44.1833,28.65,61.7,76,14,8.12,few clouds
197,Ahipara,NZ,-35.1667,173.1667,57.74,87,34,7.27,scattered clouds
198,Altona,DE,53.55,9.9333,62.15,44,0,14.97,clear sky
199,Buraydah,SA,26.326,43.975,77.45,49,71,8.95,light rain
200,Souillac,MU,-20.5167,57.5167,75.58,88,40,3.44,scattered clouds
201,Nola,IT,40.922,14.5329,72.01,45,6,10.0,clear sky
202,Aykhal,RU,66.0,111.5,22.35,92,99,10.25,overcast clouds
203,Sao Joao Da Barra,BR,-21.6403,-41.0511,87.89,72,5,14.45,clear sky
204,Provideniya,RU,64.3833,-173.3,24.17,87,57,12.77,broken clouds
205,Anshun,CN,26.25,105.9333,58.96,85,20,5.26,few clouds
206,Nishihara,JP,26.1842,127.7558,78.46,94,75,11.5,broken clouds
207,Saskylakh,RU,71.9167,114.0833,25.5,94,100,11.36,overcast clouds
208,Christchurch,NZ,-43.5333,172.6333,48.94,90,100,1.14,fog
209,Ozinki,RU,51.1786,49.6769,51.64,70,56,14.63,broken clouds
210,Mirnyy,RU,62.5353,113.9611,23.56,93,93,3.89,overcast clouds
211,Liwale,TZ,-9.7667,37.9333,68.81,93,74,4.65,broken clouds
212,Tiksi,RU,71.6872,128.8694,-4.72,100,44,5.73,scattered clouds
213,Uri,IN,34.0833,74.0333,60.93,89,80,12.1,broken clouds
214,Ornskoldsvik,SE,63.2909,18.7153,41.95,42,20,13.8,few clouds
215,Ukiah,US,39.1502,-123.2078,53.44,64,0,16.11,clear sky
216,Talnakh,RU,69.4865,88.3972,11.71,98,85,2.53,overcast clouds
217,Tezu,IN,27.9167,96.1667,74.5,60,5,5.08,clear sky
218,Maningrida,AU,-12.0667,134.2667,80.13,81,76,5.93,broken clouds
219,Privolzhye,RU,52.8649,48.6044,46.51,66,50,10.74,scattered clouds
220,Cairns,AU,-16.9167,145.7667,76.95,89,40,8.05,scattered clouds
221,Kuntaur,GM,13.6667,-14.8833,105.71,12,3,3.71,clear sky
222,Sao Filipe,CV,14.8961,-24.4956,71.76,72,0,9.75,clear sky
223,Shitanjing,CN,39.2342,106.3439,56.43,26,100,4.79,overcast clouds
224,Cayenne,GF,4.9333,-52.3333,86.04,1,40,13.8,scattered clouds
225,Luderitz,NA,-26.6481,15.1594,66.43,57,0,7.56,clear sky
226,Kathmandu,NP,27.7167,85.3167,75.42,69,40,3.44,scattered clouds
227,Yining,CN,29.0361,114.5636,53.98,92,99,4.27,overcast clouds
